19:49:28.808 XYZ [[3.13, 6.19, 1.81], [2.15, 4.11, 1.21], [0.84, 2.1, 1.53], [1.33, 3.65, 1.36]]
19:49:28.891 XYZ [[3.15, 6.2, 1.83], [2.14, 4.08, 1.22], [0.87, 2.02, 1.49], [1.32, 3.63, 1.38]]
19:49:28.975 XYZ [[3.17, 6.21, 1.86], [2.15, 4.08, 1.23], [0.91, 1.91, 1.47], [1.28, 3.58, 1.4]]
19:49:29.059 XYZ [[3.23, 6.2, 1.86], [2.18, 4.05, 1.27], [0.93, 1.88, 1.48], [1.26, 3.56, 1.39]]
19:49:29.142 XYZ [[3.28, 6.18, 1.8], [2.12, 4.06, 1.27], [0.95, 1.83, 1.47], [1.19, 3.49, 1.42]]
19:49:29.225 XYZ [[3.35, 6.19, 1.76], [2.04, 4.06, 1.25], [0.99, 1.81, 1.48], [1.13, 3.45, 1.41]]
19:49:29.309 XYZ [[3.36, 6.14, 1.71], [2.01, 4.07, 1.27], [1.01, 1.79, 1.47], [1.1, 3.41, 1.41]]
19:49:29.392 XYZ [[3.35, 6.13, 1.71], [1.93, 4.08, 1.27], [1.05, 1.78, 1.46], [1.03, 3.35, 1.43]]
19:49:29.476 XYZ [[3.4, 6.11, 1.7], [1.85, 4.09, 1.29], [1.05, 1.78, 1.46], [0.98, 3.27, 1.42]]
19:49:29.560 XYZ [[3.45, 6.03, 1.69], [1.76, 4.1, 1.31], [1.12, 1.75, 1.45], [0.96, 3.23, 1.42]]
19:49:29.644 XYZ [[3.45, 6.03, 1.69], [1.73, 4.12, 1.31], [1.17, 1.7, 1.46], [0.93, 3.15, 1.46]]
19:49:29.727 XYZ [[3.49, 5.92, 1.73], [1.66, 4.14, 1.34], [1.24, 1.63, 1.47], [0.9, 3.07, 1.47]]
19:49:29.811 XYZ [[3.51, 5.89, 1.72], [1.61, 4.17, 1.37], [1.25, 1.63, 1.49], [0.91, 3.02, 1.47]]
19:49:29.894 XYZ [[3.54, 5.81, 1.68], [1.59, 4.18, 1.38], [1.31, 1.59, 1.48], [0.91, 2.94, 1.47]]
19:49:29.978 XYZ [[3.57, 5.77, 1.67], [1.57, 4.2, 1.41], [1.35, 1.56, 1.47], [0.91, 2.89, 1.46]]
19:49:30.061 XYZ [[3.57, 5.77, 1.67], [1.54, 4.19, 1.42], [1.37, 1.55, 1.48], [0.91, 2.85, 1.47]]
19:49:30.145 XYZ [[3.64, 5.67, 1.68], [1.5, 4.18, 1.44], [1.42, 1.54, 1.51], [0.9, 2.79, 1.46]]
19:49:30.231 XYZ [[3.66, 5.64, 1.69], [1.45, 4.16, 1.51], [1.51, 1.51, 1.51], [0.87, 2.73, 1.45]]
19:49:30.314 XYZ [[3.68, 5.58, 1.69], [1.4, 4.13, 1.54], [1.55, 1.5, 1.51], [0.85, 2.7, 1.45]]
19:49:30.398 XYZ [[3.67, 5.51, 1.65], [1.39, 4.11, 1.55], [1.65, 1.47, 1.49], [0.81, 2.66, 1.44]]
19:49:30.481 XYZ [[3.68, 5.49, 1.67], [1.34, 4.02, 1.56], [1.73, 1.44, 1.46], [0.8, 2.6, 1.47]]
19:49:30.565 XYZ [[3.72, 5.43, 1.67], [1.28, 3.94, 1.57], [1.8, 1.41, 1.44], [0.82, 2.57, 1.49]]
19:49:30.649 XYZ [[3.72, 5.4, 1.63], [1.24, 3.9, 1.57], [1.83, 1.41, 1.43], [0.85, 2.5, 1.49]]
19:49:30.732 XYZ [[3.71, 5.39, 1.62], [1.21, 3.81, 1.63], [1.88, 1.42, 1.41], [0.83, 2.4, 1.51]]
19:49:30.815 XYZ [[3.71, 5.4, 1.58], [1.19, 3.74, 1.65], [1.94, 1.43, 1.4], [0.83, 2.36, 1.52]]
19:49:30.899 XYZ [[3.75, 5.42, 1.53], [1.2, 3.7, 1.66], [1.98, 1.43, 1.39], [0.81, 2.28, 1.53]]
19:49:30.982 XYZ [[3.76, 5.43, 1.52], [1.19, 3.64, 1.68], [2.02, 1.45, 1.38], [0.8, 2.21, 1.51]]
19:49:31.066 XYZ [[3.78, 5.43, 1.49], [1.16, 3.56, 1.72], [2.08, 1.43, 1.39], [0.8, 2.18, 1.49]]
19:49:31.149 XYZ [[3.8, 5.44, 1.51], [1.18, 3.53, 1.73], [2.1, 1.43, 1.39], [0.78, 2.11, 1.52]]
19:49:31.233 XYZ [[3.74, 5.43, 1.51], [1.17, 3.47, 1.74], [2.18, 1.43, 1.38], [0.8, 2.1, 1.57]]
19:49:31.316 XYZ [[3.71, 5.43, 1.48], [1.14, 3.42, 1.75], [2.22, 1.41, 1.36], [0.8, 2.07, 1.56]]
19:49:31.400 XYZ [[3.64, 5.43, 1.43], [1.13, 3.39, 1.77], [2.25, 1.4, 1.36], [0.81, 2.05, 1.56]]
19:49:31.483 XYZ [[3.58, 5.43, 1.44], [1.13, 3.33, 1.77], [2.32, 1.4, 1.35], [0.81, 2.0, 1.55]]
