18:05:24.599 XYZ [[5.25, 5.26, 1.84], [1.9, 2.18, 1.59], [3.74, 6.34, 1.89], [1.37, 4.5, 1.59], [3.75, 2.99, 1.45], [3.31, 2.95, 1.68], [5.92, 4.18, 1.79], [5.82, 3.3, 1.49], [2.19, 3.61, 1.59], [2.12, 5.4, 1.75]]
18:05:24.683 XYZ [[5.29, 5.25, 1.83], [1.94, 2.11, 1.61], [3.75, 6.34, 1.89], [1.36, 4.43, 1.58], [3.77, 2.94, 1.35], [3.35, 2.95, 1.7], [5.91, 4.16, 1.79], [5.71, 3.3, 1.52], [2.16, 3.62, 1.61], [2.14, 5.35, 1.72]]
18:05:24.767 XYZ [[5.3, 5.24, 1.85], [1.95, 2.06, 1.6], [3.75, 6.37, 1.89], [1.37, 4.41, 1.57], [3.77, 2.94, 1.35], [3.31, 2.95, 1.69], [5.91, 4.16, 1.79], [5.76, 3.29, 1.5], [2.16, 3.65, 1.64], [2.19, 5.29, 1.74]]
18:05:24.850 XYZ [[5.29, 5.24, 1.85], [2.0, 1.98, 1.62], [3.74, 6.36, 1.92], [1.41, 4.38, 1.57], [3.73, 2.96, 1.32], [3.24, 2.99, 1.62], [5.8, 4.18, 1.77], [5.77, 3.28, 1.5], [2.12, 3.67, 1.62], [2.2, 5.28, 1.74]]
18:05:24.934 XYZ [[5.32, 5.22, 1.85], [2.08, 1.9, 1.63], [3.75, 6.35, 1.91], [1.42, 4.36, 1.58], [3.8, 2.93, 1.38], [3.17, 2.99, 1.57], [5.79, 4.21, 1.73], [5.71, 3.25, 1.57], [2.09, 3.69, 1.62], [2.24, 5.27, 1.69]]
18:05:25.017 XYZ [[5.32, 5.25, 1.83], [2.05, 1.96, 1.73], [3.75, 6.37, 1.92], [1.48, 4.37, 1.52], [3.72, 2.94, 1.37], [3.15, 3.01, 1.53], [5.78, 4.2, 1.7], [5.75, 3.26, 1.6], [2.05, 3.73, 1.66], [2.27, 5.27, 1.7]]
18:05:25.101 XYZ [[5.33, 5.25, 1.83], [2.02, 2.0, 1.76], [3.75, 6.36, 1.9], [1.4, 4.3, 1.51], [3.93, 2.83, 1.41], [3.12, 2.99, 1.52], [5.77, 4.23, 1.7], [5.75, 3.24, 1.59], [2.06, 3.71, 1.67], [2.31, 5.27, 1.73]]
18:05:25.184 XYZ [[5.26, 5.3, 1.83], [2.07, 2.04, 1.72], [3.72, 6.4, 1.9], [1.41, 4.26, 1.54], [3.95, 2.84, 1.49], [3.12, 2.98, 1.59], [5.77, 4.23, 1.7], [5.73, 3.22, 1.57], [2.07, 3.7, 1.65], [2.32, 5.26, 1.73]]
18:05:25.268 XYZ [[5.28, 5.28, 1.84], [2.17, 2.04, 1.67], [3.73, 6.43, 1.9], [1.4, 4.23, 1.54], [3.96, 2.81, 1.52], [3.04, 3.0, 1.57], [5.76, 4.24, 1.7], [5.72, 3.21, 1.57], [2.07, 3.69, 1.67], [2.36, 5.27, 1.72]]
18:05:25.351 XYZ [[5.3, 5.27, 1.84], [2.19, 2.09, 1.67], [3.74, 6.45, 1.91], [1.39, 4.26, 1.52], [3.87, 2.84, 1.57], [3.02, 2.99, 1.61], [5.76, 4.24, 1.73], [5.77, 3.25, 1.6], [2.05, 3.7, 1.68], [2.42, 5.28, 1.72]]
18:05:25.435 XYZ [[5.28, 5.28, 1.79], [2.24, 2.13, 1.65], [3.75, 6.5, 1.89], [1.37, 4.3, 1.58], [3.87, 2.83, 1.59], [2.98, 2.96, 1.62], [5.76, 4.23, 1.72], [5.81, 3.24, 1.56], [2.05, 3.7, 1.66], [2.45, 5.27, 1.72]]
18:05:25.518 XYZ [[5.27, 5.29, 1.76], [2.33, 2.19, 1.68], [3.79, 6.51, 1.86], [1.37, 4.32, 1.55], [3.81, 2.82, 1.57], [2.91, 2.94, 1.61], [5.73, 4.24, 1.72], [5.83, 3.25, 1.5], [2.03, 3.67, 1.65], [2.48, 5.28, 1.74]]
