19:17:18.211 XYZ [[2.3, 4.96, 1.5], [2.41, 2.77, 1.36]]
19:17:29.990 XYZ [[0.0, 0.0, 0.0], [2.24, 6.16, 1.62], [2.35, 4.92, 1.43], [2.34, 2.74, 1.3], [2.31, 3.89, 1.67]]
19:17:30.073 XYZ [[0.0, 0.0, 0.0], [2.25, 6.16, 1.63], [2.35, 4.93, 1.43], [2.34, 2.75, 1.29], [2.31, 3.9, 1.67]]
19:17:30.157 XYZ [[0.0, 0.0, 0.0], [2.25, 6.15, 1.62], [2.35, 4.94, 1.44], [2.33, 2.75, 1.28], [2.31, 3.9, 1.67]]
19:17:30.240 XYZ [[0.0, 0.0, 0.0], [2.25, 6.17, 1.61], [2.34, 4.94, 1.44], [2.33, 2.74, 1.28], [2.31, 3.89, 1.67]]
19:17:30.323 XYZ [[0.0, 0.0, 0.0], [2.26, 6.15, 1.62], [2.34, 4.94, 1.44], [2.32, 2.75, 1.27], [2.31, 3.89, 1.67]]
19:17:30.407 XYZ [[0.0, 0.0, 0.0], [2.26, 6.17, 1.62], [2.33, 4.95, 1.45], [2.32, 2.76, 1.26], [2.3, 3.89, 1.67]]
19:17:30.490 XYZ [[0.0, 0.0, 0.0], [2.28, 6.16, 1.6], [2.33, 4.95, 1.45], [2.33, 2.76, 1.27], [2.3, 3.89, 1.68]]
19:17:30.574 XYZ [[0.0, 0.0, 0.0], [2.32, 6.19, 1.63], [2.32, 4.95, 1.44], [2.32, 2.77, 1.27], [2.29, 3.9, 1.67]]
19:17:30.658 XYZ [[0.0, 0.0, 0.0], [2.33, 6.18, 1.62], [2.33, 4.94, 1.45], [2.31, 2.76, 1.26], [2.29, 3.9, 1.67]]
19:17:30.741 XYZ [[0.0, 0.0, 0.0], [2.35, 6.2, 1.63], [2.34, 4.94, 1.45], [2.32, 2.76, 1.26], [2.29, 3.9, 1.66]]
19:17:30.824 XYZ [[0.0, 0.0, 0.0], [2.37, 6.21, 1.61], [2.34, 4.94, 1.44], [2.31, 2.78, 1.25], [2.29, 3.9, 1.65]]
19:17:30.908 XYZ [[0.0, 0.0, 0.0], [2.37, 6.2, 1.6], [2.34, 4.94, 1.44], [2.33, 2.78, 1.23], [2.3, 3.9, 1.64]]
19:17:30.991 XYZ [[0.0, 0.0, 0.0], [2.37, 6.21, 1.61], [2.33, 4.95, 1.44], [2.33, 2.78, 1.23], [2.29, 3.9, 1.64]]
19:17:31.075 XYZ [[0.0, 0.0, 0.0], [2.37, 6.2, 1.61], [2.32, 4.96, 1.44], [2.33, 2.79, 1.23], [2.28, 3.91, 1.64]]
19:17:31.158 XYZ [[0.0, 0.0, 0.0], [2.35, 6.2, 1.62], [2.32, 4.96, 1.43], [2.32, 2.79, 1.24], [2.28, 3.9, 1.65]]
