19:25:27.975 XYZ [[0.0, 0.0, 0.0], [4.31, 6.18, 1.69], [4.27, 5.11, 1.58], [3.99, 3.03, 1.73], [4.21, 4.06, 1.77]]
19:25:28.059 XYZ [[0.0, 0.0, 0.0], [4.32, 6.19, 1.67], [4.3, 5.13, 1.62], [4.06, 3.01, 1.7], [4.22, 4.08, 1.78]]
19:25:28.142 XYZ [[0.0, 0.0, 0.0], [4.35, 6.21, 1.65], [4.31, 5.13, 1.62], [4.1, 3.01, 1.73], [4.23, 4.08, 1.79]]
19:25:28.226 XYZ [[0.0, 0.0, 0.0], [4.37, 6.19, 1.65], [4.33, 5.13, 1.65], [4.12, 3.0, 1.74], [4.24, 4.06, 1.78]]
19:25:28.309 XYZ [[0.0, 0.0, 0.0], [4.37, 6.18, 1.64], [4.34, 5.14, 1.65], [4.13, 2.94, 1.77], [4.24, 4.01, 1.79]]
19:25:28.393 XYZ [[0.0, 0.0, 0.0], [4.38, 6.17, 1.66], [4.32, 5.14, 1.67], [4.01, 2.86, 1.87], [4.23, 4.0, 1.77]]
19:25:28.476 XYZ [[0.0, 0.0, 0.0], [4.44, 6.16, 1.7], [4.37, 5.13, 1.67], [3.98, 2.84, 1.93], [4.26, 4.0, 1.76]]
19:25:28.560 XYZ [[0.0, 0.0, 0.0], [4.44, 6.14, 1.7], [4.36, 5.12, 1.68], [4.0, 2.85, 1.93], [4.27, 3.98, 1.78]]
19:25:28.643 XYZ [[0.0, 0.0, 0.0], [4.44, 6.13, 1.7], [4.37, 5.08, 1.71], [4.02, 2.88, 1.9], [4.22, 3.98, 1.76]]
19:25:28.726 XYZ [[0.0, 0.0, 0.0], [4.43, 6.1, 1.71], [4.36, 5.08, 1.73], [4.04, 2.9, 1.81], [4.19, 3.95, 1.79]]
19:25:28.810 XYZ [[0.0, 0.0, 0.0], [4.41, 6.1, 1.71], [4.38, 5.02, 1.77], [4.04, 2.91, 1.75], [4.18, 3.94, 1.78]]
19:25:28.894 XYZ [[0.0, 0.0, 0.0], [4.4, 6.1, 1.69], [4.4, 5.01, 1.78], [4.09, 2.92, 1.62], [4.17, 3.91, 1.74]]
19:25:28.977 XYZ [[0.0, 0.0, 0.0], [4.42, 6.1, 1.66], [4.41, 5.03, 1.78], [4.11, 2.93, 1.61], [4.15, 3.9, 1.71]]
19:25:29.060 XYZ [[0.0, 0.0, 0.0], [4.44, 6.08, 1.66], [4.42, 4.99, 1.79], [4.12, 2.94, 1.61], [4.12, 3.88, 1.72]]
19:25:29.144 XYZ [[0.0, 0.0, 0.0], [4.45, 6.1, 1.67], [4.38, 5.01, 1.8], [4.15, 2.93, 1.61], [4.13, 3.87, 1.7]]
19:25:29.227 XYZ [[0.0, 0.0, 0.0], [4.37, 6.15, 1.62], [4.33, 5.01, 1.77], [4.15, 2.92, 1.6], [4.12, 3.83, 1.71]]
19:25:29.311 XYZ [[0.0, 0.0, 0.0], [4.36, 6.17, 1.61], [4.26, 5.02, 1.74], [4.15, 2.92, 1.6], [4.13, 3.82, 1.71]]
19:25:29.394 XYZ [[0.0, 0.0, 0.0], [4.31, 6.21, 1.59], [4.19, 5.03, 1.74], [4.14, 2.91, 1.56], [4.13, 3.82, 1.73]]
