20:03:23.944 XYZ [[2.87, -0.75, 1.19], [1.72, 4.61, 1.36], [1.35, 1.87, 1.41], [2.91, 3.96, 1.36], [0.0, 0.0, 0.0], [2.54, 0.22, 1.07], [0.0, 0.0, 0.0], [1.67, 4.11, 0.74], [0.85, 1.23, 1.34], [2.92, 4.38, 1.27]]
20:03:24.027 XYZ [[2.87, -0.73, 1.19], [1.61, 4.53, 1.33], [1.47, 1.82, 1.42], [2.91, 4.08, 1.33], [0.0, 0.0, 0.0], [2.53, 0.22, 1.06], [0.0, 0.0, 0.0], [1.6, 4.04, 0.73], [1.02, 1.11, 1.36], [2.8, 4.53, 1.24]]
20:03:24.111 XYZ [[2.87, -0.71, 1.19], [1.59, 4.51, 1.33], [1.51, 1.8, 1.41], [2.89, 4.16, 1.34], [0.0, 0.0, 0.0], [2.53, 0.2, 1.06], [0.0, 0.0, 0.0], [1.56, 4.02, 0.74], [1.06, 1.1, 1.36], [2.75, 4.61, 1.2]]
20:03:24.194 XYZ [[2.87, -0.7, 1.2], [1.54, 4.46, 1.33], [1.57, 1.74, 1.4], [2.87, 4.23, 1.37], [0.0, 0.0, 0.0], [2.53, 0.18, 1.04], [0.0, 0.0, 0.0], [1.51, 3.97, 0.73], [1.21, 1.05, 1.4], [2.69, 4.69, 1.18]]
20:03:24.278 XYZ [[2.89, -0.73, 1.19], [1.46, 4.43, 1.31], [1.6, 1.64, 1.35], [2.81, 4.28, 1.35], [0.0, 0.0, 0.0], [2.55, 0.19, 1.03], [0.0, 0.0, 0.0], [1.43, 3.89, 0.71], [1.41, 1.08, 1.38], [2.61, 4.77, 1.22]]
20:03:24.361 XYZ [[2.9, -0.76, 1.22], [1.38, 4.38, 1.38], [1.57, 1.59, 1.35], [2.81, 4.29, 1.34], [0.0, 0.0, 0.0], [2.54, 0.17, 1.02], [0.0, 0.0, 0.0], [1.41, 3.87, 0.71], [1.47, 1.08, 1.36], [2.59, 4.79, 1.23]]
20:03:24.445 XYZ [[2.9, -0.79, 1.24], [1.34, 4.36, 1.38], [1.57, 1.51, 1.3], [2.76, 4.33, 1.34], [0.0, 0.0, 0.0], [2.54, 0.16, 1.0], [0.0, 0.0, 0.0], [1.38, 3.83, 0.71], [1.53, 1.08, 1.35], [2.54, 4.83, 1.21]]
20:03:24.528 XYZ [[2.9, -0.81, 1.25], [1.27, 4.32, 1.41], [1.56, 1.46, 1.29], [2.72, 4.37, 1.32], [0.0, 0.0, 0.0], [2.58, 0.15, 1.02], [0.0, 0.0, 0.0], [1.31, 3.76, 0.73], [1.66, 1.08, 1.35], [2.45, 4.9, 1.19]]
20:03:24.611 XYZ [[2.9, -0.82, 1.26], [1.24, 4.29, 1.43], [1.59, 1.46, 1.28], [2.69, 4.43, 1.34], [0.0, 0.0, 0.0], [2.61, 0.13, 1.02], [0.0, 0.0, 0.0], [1.26, 3.69, 0.71], [1.79, 1.08, 1.37], [2.38, 4.97, 1.15]]
20:03:24.695 XYZ [[2.94, -0.92, 1.27], [1.18, 4.25, 1.45], [1.64, 1.45, 1.31], [2.67, 4.45, 1.37], [0.0, 0.0, 0.0], [2.65, 0.14, 1.03], [0.0, 0.0, 0.0], [1.27, 3.65, 0.72], [1.85, 1.08, 1.38], [2.31, 5.06, 1.16]]
