19:02:27.056 XYZ [[2.65, 4.42, 1.43], [2.81, -0.99, 1.37], [3.36, 4.15, 1.57], [1.98, 3.01, 1.47], [1.71, 3.93, 1.51]]
19:02:27.139 XYZ [[2.65, 4.43, 1.44], [2.8, -0.98, 1.38], [3.36, 4.16, 1.58], [1.96, 3.02, 1.49], [1.7, 3.9, 1.49]]
19:02:27.223 XYZ [[2.63, 4.44, 1.43], [2.8, -0.95, 1.38], [3.35, 4.15, 1.58], [1.97, 3.02, 1.48], [1.67, 3.88, 1.48]]
19:02:27.306 XYZ [[2.62, 4.44, 1.44], [2.79, -0.91, 1.38], [3.36, 4.14, 1.6], [1.97, 3.02, 1.46], [1.64, 3.88, 1.5]]
19:02:27.390 XYZ [[2.59, 4.45, 1.44], [2.78, -0.89, 1.37], [3.36, 4.14, 1.61], [1.99, 3.0, 1.47], [1.62, 3.88, 1.5]]
19:02:27.473 XYZ [[2.59, 4.45, 1.44], [2.76, -0.86, 1.38], [3.36, 4.13, 1.61], [2.0, 2.99, 1.46], [1.62, 3.88, 1.49]]
19:02:27.557 XYZ [[2.56, 4.46, 1.43], [2.75, -0.83, 1.38], [3.35, 4.13, 1.64], [2.02, 2.98, 1.42], [1.62, 3.89, 1.47]]
19:02:27.644 XYZ [[2.56, 4.47, 1.43], [2.74, -0.83, 1.37], [3.35, 4.13, 1.65], [2.01, 2.97, 1.37], [1.62, 3.9, 1.46]]
19:02:27.727 XYZ [[2.56, 4.48, 1.43], [2.72, -0.82, 1.39], [3.38, 4.13, 1.64], [2.01, 2.95, 1.36], [1.61, 3.92, 1.47]]
19:02:27.811 XYZ [[2.56, 4.48, 1.44], [2.71, -0.82, 1.4], [3.38, 4.12, 1.63], [2.0, 2.95, 1.34], [1.6, 3.94, 1.48]]
19:02:27.895 XYZ [[2.56, 4.49, 1.43], [2.69, -0.89, 1.4], [3.37, 4.11, 1.63], [1.98, 2.96, 1.33], [1.6, 3.95, 1.48]]
19:02:27.978 XYZ [[2.56, 4.5, 1.42], [2.71, -0.91, 1.41], [3.38, 4.11, 1.59], [1.97, 2.95, 1.32], [1.58, 3.97, 1.47]]
19:02:28.061 XYZ [[2.55, 4.51, 1.41], [2.72, -0.98, 1.45], [3.4, 4.11, 1.59], [1.96, 2.95, 1.32], [1.57, 3.98, 1.47]]
19:02:28.145 XYZ [[2.56, 4.54, 1.41], [2.73, -0.98, 1.48], [3.4, 4.1, 1.58], [1.97, 2.96, 1.32], [1.57, 3.98, 1.46]]
19:02:28.228 XYZ [[2.59, 4.57, 1.43], [2.73, -0.97, 1.5], [3.4, 4.09, 1.58], [1.97, 2.95, 1.33], [1.56, 3.99, 1.46]]
19:02:28.312 XYZ [[2.59, 4.57, 1.42], [2.72, -0.9, 1.48], [3.42, 4.07, 1.56], [1.95, 2.95, 1.31], [1.57, 4.0, 1.45]]
19:02:28.395 XYZ [[2.62, 4.57, 1.43], [2.73, -0.87, 1.48], [3.41, 4.07, 1.57], [1.96, 2.96, 1.33], [1.57, 4.0, 1.44]]
19:02:28.479 XYZ [[2.63, 4.56, 1.42], [2.76, -0.82, 1.45], [3.44, 4.08, 1.55], [1.98, 2.98, 1.34], [1.57, 3.99, 1.43]]
19:02:28.562 XYZ [[2.64, 4.57, 1.41], [2.79, -0.77, 1.41], [3.43, 4.06, 1.54], [2.0, 2.99, 1.34], [1.56, 3.99, 1.43]]
19:02:28.646 XYZ [[2.66, 4.58, 1.41], [2.84, -0.82, 1.4], [3.43, 4.06, 1.54], [2.04, 3.0, 1.36], [1.57, 3.99, 1.42]]
19:02:28.729 XYZ [[2.68, 4.57, 1.41], [2.93, -0.82, 1.36], [3.44, 4.05, 1.54], [2.04, 3.0, 1.39], [1.55, 3.97, 1.41]]
19:02:28.813 XYZ [[2.69, 4.56, 1.42], [3.02, -0.83, 1.41], [3.45, 4.06, 1.55], [2.02, 3.01, 1.4], [1.55, 3.96, 1.4]]
19:02:28.896 XYZ [[2.69, 4.56, 1.4], [3.08, -0.74, 1.42], [3.47, 4.04, 1.52], [2.02, 3.03, 1.41], [1.54, 3.96, 1.4]]
19:02:28.980 XYZ [[2.73, 4.56, 1.42], [3.11, -0.71, 1.45], [3.49, 4.05, 1.57], [2.0, 3.07, 1.43], [1.53, 3.96, 1.41]]
19:02:29.063 XYZ [[2.73, 4.57, 1.43], [3.22, -0.63, 1.46], [3.5, 4.05, 1.58], [1.97, 3.09, 1.43], [1.54, 3.96, 1.42]]
19:02:29.146 XYZ [[2.72, 4.57, 1.42], [3.31, -0.56, 1.44], [3.52, 4.05, 1.56], [1.93, 3.09, 1.44], [1.54, 3.97, 1.44]]
19:02:29.230 XYZ [[2.74, 4.57, 1.43], [3.39, -0.49, 1.46], [3.52, 4.06, 1.59], [1.87, 3.09, 1.43], [1.57, 3.96, 1.47]]
19:02:29.313 XYZ [[2.75, 4.57, 1.44], [3.52, -0.34, 1.47], [3.52, 4.06, 1.61], [1.85, 3.09, 1.43], [1.57, 3.97, 1.49]]
19:02:29.397 XYZ [[2.75, 4.55, 1.47], [3.63, -0.19, 1.43], [3.53, 4.06, 1.61], [1.77, 3.1, 1.44], [1.57, 3.98, 1.5]]
19:02:29.480 XYZ [[2.76, 4.51, 1.47], [3.68, -0.13, 1.41], [3.53, 4.06, 1.57], [1.71, 3.08, 1.44], [1.61, 3.99, 1.54]]
19:02:29.564 XYZ [[2.76, 4.49, 1.46], [3.77, -0.04, 1.38], [3.52, 4.06, 1.54], [1.69, 3.08, 1.45], [1.62, 3.99, 1.54]]
19:02:29.647 XYZ [[2.72, 4.48, 1.45], [3.83, -0.01, 1.36], [3.51, 4.07, 1.55], [1.61, 3.07, 1.41], [1.61, 4.0, 1.56]]
19:02:29.731 XYZ [[2.66, 4.47, 1.44], [3.87, 0.05, 1.35], [3.5, 4.08, 1.58], [1.56, 3.05, 1.39], [1.57, 4.01, 1.57]]
19:02:29.814 XYZ [[2.62, 4.47, 1.45], [4.0, 0.1, 1.38], [3.5, 4.08, 1.58], [1.54, 3.04, 1.4], [1.54, 4.03, 1.57]]
19:02:29.898 XYZ [[2.56, 4.51, 1.44], [4.0, 0.1, 1.38], [3.46, 4.1, 1.64], [1.49, 3.03, 1.41], [1.53, 4.04, 1.56]]
19:02:29.981 XYZ [[2.49, 4.54, 1.44], [4.14, 0.07, 1.38], [3.43, 4.1, 1.66], [1.44, 3.02, 1.41], [1.52, 4.05, 1.54]]
19:02:30.065 XYZ [[2.48, 4.59, 1.42], [4.19, 0.02, 1.39], [3.4, 4.1, 1.66], [1.41, 3.03, 1.41], [1.53, 4.06, 1.54]]
19:02:30.148 XYZ [[2.45, 4.67, 1.4], [4.24, -0.01, 1.38], [3.37, 4.08, 1.66], [1.38, 3.06, 1.4], [1.54, 4.07, 1.55]]
19:02:30.232 XYZ [[2.44, 4.71, 1.4], [4.37, -0.06, 1.36], [3.35, 4.07, 1.68], [1.36, 3.08, 1.41], [1.53, 4.07, 1.54]]
19:02:30.315 XYZ [[2.43, 4.75, 1.38], [4.48, -0.17, 1.37], [3.32, 4.05, 1.69], [1.33, 3.1, 1.39], [1.5, 4.07, 1.53]]
19:02:30.399 XYZ [[2.44, 4.84, 1.36], [4.54, -0.22, 1.37], [3.32, 4.05, 1.7], [1.25, 3.17, 1.39], [1.51, 4.08, 1.52]]
19:02:30.482 XYZ [[2.42, 4.89, 1.35], [4.64, -0.31, 1.38], [3.33, 4.02, 1.72], [1.21, 3.24, 1.39], [1.54, 4.09, 1.5]]
19:02:30.565 XYZ [[2.42, 4.92, 1.35], [4.75, -0.39, 1.41], [3.3, 4.01, 1.73], [1.19, 3.27, 1.4], [1.56, 4.09, 1.5]]
19:02:30.649 XYZ [[2.42, 4.97, 1.33], [4.87, -0.47, 1.42], [3.29, 4.0, 1.73], [1.15, 3.34, 1.42], [1.58, 4.1, 1.51]]
19:02:30.733 XYZ [[2.42, 5.0, 1.3], [4.92, -0.52, 1.44], [3.29, 4.01, 1.74], [1.11, 3.37, 1.43], [1.6, 4.09, 1.49]]
19:02:30.817 XYZ [[2.41, 5.01, 1.28], [5.05, -0.59, 1.45], [3.28, 4.0, 1.74], [0.94, 3.46, 1.52], [1.64, 4.06, 1.49]]
19:02:30.900 XYZ [[2.4, 5.04, 1.27], [5.2, -0.68, 1.44], [3.28, 4.01, 1.74], [0.88, 3.52, 1.53], [1.69, 4.02, 1.47]]
19:02:30.984 XYZ [[2.39, 5.1, 1.27], [5.27, -0.73, 1.44], [3.27, 4.02, 1.75], [0.85, 3.6, 1.53], [1.73, 3.98, 1.5]]
19:02:31.067 XYZ [[2.32, 5.14, 1.24], [5.45, -0.82, 1.47], [3.29, 4.01, 1.81], [0.79, 3.7, 1.52], [1.79, 3.93, 1.5]]
19:02:31.151 XYZ [[2.27, 5.16, 1.25], [5.6, -0.9, 1.49], [3.29, 4.01, 1.81], [0.76, 3.73, 1.52], [1.82, 3.89, 1.53]]
19:02:31.234 XYZ [[2.18, 5.2, 1.25], [5.67, -0.95, 1.5], [3.28, 4.02, 1.81], [0.69, 3.8, 1.53], [1.82, 3.87, 1.54]]
19:02:31.318 XYZ [[2.16, 5.22, 1.25], [5.83, -1.05, 1.5], [3.27, 4.04, 1.82], [0.66, 3.83, 1.54], [1.85, 3.83, 1.57]]
19:02:31.401 XYZ [[2.12, 5.2, 1.3], [6.01, -1.18, 1.5], [3.27, 4.06, 1.82], [0.63, 3.87, 1.54], [1.87, 3.81, 1.58]]
19:02:31.485 XYZ [[2.05, 5.21, 1.34], [6.09, -1.25, 1.5], [3.28, 4.07, 1.81], [0.59, 3.91, 1.52], [1.9, 3.78, 1.6]]
19:02:31.569 XYZ [[1.97, 5.21, 1.38], [6.27, -1.42, 1.5], [3.28, 4.07, 1.8], [0.56, 3.97, 1.48], [1.93, 3.74, 1.59]]
19:02:31.652 XYZ [[1.94, 5.23, 1.38], [6.44, -1.58, 1.52], [3.27, 4.08, 1.82], [0.55, 4.0, 1.45], [1.95, 3.73, 1.59]]
19:02:31.736 XYZ [[1.9, 5.23, 1.4], [6.52, -1.67, 1.52], [3.29, 4.09, 1.82], [0.5, 4.04, 1.41], [2.0, 3.71, 1.59]]
19:02:31.819 XYZ [[1.88, 5.23, 1.4], [6.67, -1.85, 1.51], [3.32, 4.1, 1.83], [0.49, 4.07, 1.4], [2.05, 3.68, 1.59]]
19:02:31.903 XYZ [[1.83, 5.23, 1.4], [6.8, -2.01, 1.52], [3.33, 4.11, 1.78], [0.47, 4.13, 1.44], [2.08, 3.66, 1.59]]
19:02:31.986 XYZ [[1.79, 5.2, 1.43], [6.87, -2.11, 1.51], [3.36, 4.1, 1.75], [0.43, 4.18, 1.44], [2.11, 3.65, 1.58]]
19:02:32.070 XYZ [[1.76, 5.18, 1.43], [6.96, -2.24, 1.56], [3.38, 4.1, 1.72], [0.42, 4.29, 1.41], [2.14, 3.6, 1.58]]
19:02:32.153 XYZ [[1.72, 5.14, 1.39], [6.98, -2.33, 1.63], [3.39, 4.08, 1.71], [0.43, 4.41, 1.42], [2.14, 3.59, 1.56]]
19:02:32.237 XYZ [[1.7, 5.07, 1.42], [7.1, -2.46, 1.65], [3.43, 4.07, 1.7], [0.43, 4.52, 1.4], [2.15, 3.54, 1.54]]
19:02:32.320 XYZ [[1.64, 4.99, 1.45], [7.16, -2.54, 1.66], [3.45, 4.03, 1.74], [0.47, 4.65, 1.38], [2.17, 3.5, 1.54]]
19:02:32.404 XYZ [[1.6, 4.94, 1.46], [7.25, -2.65, 1.68], [3.45, 4.01, 1.69], [0.48, 4.72, 1.37], [2.18, 3.46, 1.51]]
19:02:32.487 XYZ [[1.56, 4.84, 1.45], [7.3, -2.69, 1.69], [3.47, 4.01, 1.62], [0.46, 4.87, 1.33], [2.19, 3.43, 1.51]]
