frame,type,psi
511,Filtered,-6.758658292563906
512,Unfiltered,-5.383399065774704
512,Filtered,-6.716530900803062
513,Unfiltered,-5.447559465310389
513,Filtered,-6.582588258234476
514,Unfiltered,-5.377450113521304
514,Filtered,-6.468866616814311
515,Unfiltered,-5.314383603137957
515,Filtered,-6.439276429311637
516,Unfiltered,-5.192792201924632
516,Filtered,-6.282964139888685
517,Unfiltered,-5.043304765154115
517,Filtered,-6.1398967895977
518,Unfiltered,-4.908326026388927
518,Filtered,-5.97386494135522
519,Unfiltered,-4.785123709089543
519,Filtered,-5.6486322666210205
520,Unfiltered,-4.6522186934119265
520,Filtered,-5.465871923852487
521,Unfiltered,-4.563603529097417
521,Filtered,-5.4154792655425465
522,Unfiltered,-4.452407702013426
522,Filtered,-5.380424589648004
523,Unfiltered,-4.400582642538675
523,Filtered,-5.34591685832963
524,Unfiltered,-4.355418367502935
524,Filtered,-5.297753475365881
525,Unfiltered,-4.322447448384363
525,Filtered,-5.236957774759219
526,Unfiltered,-4.278899812281001
526,Filtered,-5.188469306290189
527,Unfiltered,-4.2371371859359215
527,Filtered,-5.157824743976683
528,Unfiltered,-4.19237521364381
