,Participant Public ID,Response,Absolute Reaction Time, Emergence,Group,Segment
202,5e6627a7ef80c639ac28b01a,4,20103.5159998093,-0.05025368,A_10,7
203,5e6627a7ef80c639ac28b01a,4,25292.1429999996,-4.903524856,A_5,6
204,5e6627a7ef80c639ac28b01a,4,14526.3250000001,-2.714044426,A_6,9
205,5e6627a7ef80c639ac28b01a,6,17101.0709999999,-2.346744575,B_9,2
206,5e6627a7ef80c639ac28b01a,4,7129.75699980929,-4.714947451,B_6,6
207,5e6627a7ef80c639ac28b01a,4,15145.3529999991,-5.454296927,B_8,28
208,5e6627a7ef80c639ac28b01a,4,11851.9809999996,-8.265791359,B_3,8
209,5e6627a7ef80c639ac28b01a,4,33762.485999857,-6.434306211,B_5,5
210,5e6627a7ef80c639ac28b01a,4,12498.2159998565,-6.320905866,A_9,18
211,5e6627a7ef80c639ac28b01a,4,6961.45599980931,-5.919870906,A_5,1
212,5e6627a7ef80c639ac28b01a,4,8926.24000000022,-9.011044648,B_3,11
213,5e6627a7ef80c639ac28b01a,3,12279.0819998094,-5.033856214,B_8,9
214,5e6627a7ef80c639ac28b01a,3,7903.09199995268,-2.999678743,B_8,10
215,5e6627a7ef80c639ac28b01a,7,14777.2389999991,-0.631816064,B_9,14
216,5e6627a7ef80c639ac28b01a,6,29588.0040000006,2.559817948,B_1,19
217,5e6627a7ef80c639ac28b01a,3,9511.62800000049,-9.822086463,B_6,10
218,5e6627a7ef80c639ac28b01a,5,14921.1419998565,0.605994948,B_4,34
219,5e6627a7ef80c639ac28b01a,4,8089.7349999044,-2.668496294,A_4,2
220,5e6627a7ef80c639ac28b01a,3,13423.0049999998,-12.4005227,B_5,21
221,5e6627a7ef80c639ac28b01a,4,35638.8739999998,-5.277533722,B_1,16
222,5e6627a7ef80c639ac28b01a,6,11224.7369998572,-4.572664443,A_2,3
223,5e6627a7ef80c639ac28b01a,5,10614.6600000001,-1.257582348,A_10,5
224,5e6627a7ef80c639ac28b01a,4,6741.30099995248,-3.392292175,A_9,27
225,5e6627a7ef80c639ac28b01a,4,29296.3499998571,-7.808888395,B_4,21
226,5e6627a7ef80c639ac28b01a,4,9355.98099990468,-1.439640972,B_7,2
227,5e6627a7ef80c639ac28b01a,5,13101.5349998567,-3.023302823,A_10,1
228,5e6627a7ef80c639ac28b01a,6,29201.1979999523,-4.850927493,B_9,13
229,5e6627a7ef80c639ac28b01a,4,23101.1119999522,-1.755579392,A_8,15
230,5e6627a7ef80c639ac28b01a,3,48226.8550000004,-6.547106497,A_8,3
231,5e6627a7ef80c639ac28b01a,3,12583.4719998091,-3.907844988,A_6,5
232,5e6627a7ef80c639ac28b01a,5,14036.3229999523,-5.56702146,A_2,4
233,5e6627a7ef80c639ac28b01a,6,7047.78199980966,-6.168933858,B_7,8
234,5e6627a7ef80c639ac28b01a,7,8692.27000000048,-9.943797363,B_1,15
235,5e6627a7ef80c639ac28b01a,4,10681.83,-13.52908999,B_8,4
236,5e6627a7ef80c639ac28b01a,4,12902.7149999523,-7.494499799,B_5,7
237,5e6627a7ef80c639ac28b01a,4,20384.2319998089,0.180217404,B_1,1
238,5e6627a7ef80c639ac28b01a,4,6090.05999990459,-1.720413408,A_8,4
239,5e6627a7ef80c639ac28b01a,3,9841.80299990438,-11.22712131,B_4,10
240,5e6627a7ef80c639ac28b01a,2,16175.1339998571,-7.996227573,B_8,5
241,5e6627a7ef80c639ac28b01a,3,12621.1719999993,-0.30783271,A_9,6
242,5e6627a7ef80c639ac28b01a,3,15011.0310000004,-14.57092477,A_2,21
243,5e6627a7ef80c639ac28b01a,3,6541.44699995219,-6.761771024,A_5,10
244,5e6627a7ef80c639ac28b01a,4,7288.73199999891,-8.975794897,B_3,5
245,5e6627a7ef80c639ac28b01a,4,6385.49000000022,-1.212979047,A_5,7
246,5e6627a7ef80c639ac28b01a,4,22149.5950000006,-8.014782625,A_6,6
247,5e6627a7ef80c639ac28b01a,4,13738.7569998567,-4.409589802,A_9,14
248,5e6627a7ef80c639ac28b01a,5,14275.1139998566,-2.072454832,B_1,12
249,5e6627a7ef80c639ac28b01a,4,16647.931999905,-0.613086684,A_10,2
250,5e6627a7ef80c639ac28b01a,3,6491.71499990485,-14.02163075,B_8,24
251,5e6627a7ef80c639ac28b01a,3,5817.47200000006,-2.379576229,B_1,9
252,5e6627a7ef80c639ac28b01a,3,13607.1639999998,-3.55479289,A_8,1
253,5e6627a7ef80c639ac28b01a,3,7866.42299980949,-3.735529945,B_2,5
254,5e6627a7ef80c639ac28b01a,3,8439.24299995228,-17.00611031,A_2,19
255,5e6627a7ef80c639ac28b01a,3,5908.45500000007,-3.77787512,A_2,6
